#     time (fs)  |  E_x (eV/ang)  | E_y (eV/ang) | E_z (eV/ang)
     0.00000000     0.00000000     0.00000000     0.00000000
     0.00241888     0.01190648     0.00000000     0.01190648
     0.00483777     0.02378234     0.00000000     0.02378234
     0.00725665     0.03559707     0.00000000     0.03559707
     0.00967554     0.04732029     0.00000000     0.04732029
     0.01209442     0.05892187     0.00000000     0.05892187
     0.01451331     0.07037197     0.00000000     0.07037197
     0.01693219     0.08164116     0.00000000     0.08164116
     0.01935107     0.09270049     0.00000000     0.09270049
     0.02176996     0.10352150     0.00000000     0.10352150
     0.02418884     0.11407639     0.00000000     0.11407639
     0.02660773     0.12433803     0.00000000     0.12433803
     0.02902661     0.13428002     0.00000000     0.13428002
     0.03144550     0.14387682     0.00000000     0.14387682
     0.03386438     0.15310376     0.00000000     0.15310376
     0.03628326     0.16193711     0.00000000     0.16193711
     0.03870215     0.17035417     0.00000000     0.17035417
     0.04112103     0.17833330     0.00000000     0.17833330
     0.04353992     0.18585398     0.00000000     0.18585398
     0.04595880     0.19289689     0.00000000     0.19289689
     0.04837769     0.19944392     0.00000000     0.19944392
     0.05079657     0.20547823     0.00000000     0.20547823
     0.05321546     0.21098432     0.00000000     0.21098432
     0.05563434     0.21594803     0.00000000     0.21594803
     0.05805322     0.22035660     0.00000000     0.22035660
     0.06047211     0.22419870     0.00000000     0.22419870
     0.06289099     0.22746445     0.00000000     0.22746445
     0.06530988     0.23014545     0.00000000     0.23014545
     0.06772876     0.23223482     0.00000000     0.23223482
     0.07014765     0.23372718     0.00000000     0.23372718
     0.07256653     0.23461869     0.00000000     0.23461869
     0.07498541     0.23490707     0.00000000     0.23490707
     0.07740430     0.23459157     0.00000000     0.23459157
     0.07982318     0.23367301     0.00000000     0.23367301
     0.08224207     0.23215373     0.00000000     0.23215373
     0.08466095     0.23003766     0.00000000     0.23003766
     0.08707984     0.22733023     0.00000000     0.22733023
     0.08949872     0.22403840     0.00000000     0.22403840
     0.09191760     0.22017063     0.00000000     0.22017063
     0.09433649     0.21573687     0.00000000     0.21573687
     0.09675537     0.21074851     0.00000000     0.21074851
     0.09917426     0.20521838     0.00000000     0.20521838
     0.10159314     0.19916069     0.00000000     0.19916069
     0.10401203     0.19259101     0.00000000     0.19259101
     0.10643091     0.18552624     0.00000000     0.18552624
     0.10884979     0.17798454     0.00000000     0.17798454
     0.11126868     0.16998529     0.00000000     0.16998529
     0.11368756     0.16154906     0.00000000     0.16154906
     0.11610645     0.15269753     0.00000000     0.15269753
     0.11852533     0.14345346     0.00000000     0.14345346
     0.12094422     0.13384062     0.00000000     0.13384062
     0.12336310     0.12388371     0.00000000     0.12388371
     0.12578198     0.11360833     0.00000000     0.11360833
     0.12820087     0.10304089     0.00000000     0.10304089
     0.13061975     0.09220857     0.00000000     0.09220857
     0.13303864     0.08113921     0.00000000     0.08113921
     0.13545752     0.06986126     0.00000000     0.06986126
     0.13787641     0.05840372     0.00000000     0.05840372
     0.14029529     0.04679604     0.00000000     0.04679604
     0.14271418     0.03506806     0.00000000     0.03506806
     0.14513306     0.02324993     0.00000000     0.02324993
     0.14755194     0.01137203     0.00000000     0.01137203
     0.14997083    -0.00053510    -0.00000000    -0.00053510
     0.15238971    -0.01244086    -0.00000000    -0.01244086
     0.15480860    -0.02431463    -0.00000000    -0.02431463
     0.15722748    -0.03612590    -0.00000000    -0.03612590
     0.15964637    -0.04784430    -0.00000000    -0.04784430
     0.16206525    -0.05943971    -0.00000000    -0.05943971
     0.16448413    -0.07088231    -0.00000000    -0.07088231
     0.16690302    -0.08214270    -0.00000000    -0.08214270
     0.16932190    -0.09319192    -0.00000000    -0.09319192
     0.17174079    -0.10400157    -0.00000000    -0.10400157
     0.17415967    -0.11454386    -0.00000000    -0.11454386
     0.17657856    -0.12479170    -0.00000000    -0.12479170
     0.17899744    -0.13471873    -0.00000000    -0.13471873
     0.18141632    -0.14429944    -0.00000000    -0.14429944
     0.18383521    -0.15350920    -0.00000000    -0.15350920
     0.18625409    -0.16232433    -0.00000000    -0.16232433
     0.18867298    -0.17072217    -0.00000000    -0.17072217
     0.19109186    -0.17868113    -0.00000000    -0.17868113
     0.19351075    -0.18618076    -0.00000000    -0.18618076
     0.19592963    -0.19320177    -0.00000000    -0.19320177
     0.19834851    -0.19972612    -0.00000000    -0.19972612
     0.20076740    -0.20573702    -0.00000000    -0.20573702
     0.20318628    -0.21121904    -0.00000000    -0.21121904
     0.20560517    -0.21615808    -0.00000000    -0.21615808
     0.20802405    -0.22054143    -0.00000000    -0.22054143
     0.21044294    -0.22435784    -0.00000000    -0.22435784
     0.21286182    -0.22759749    -0.00000000    -0.22759749
     0.21528071    -0.23025205    -0.00000000    -0.23025205
     0.21769959    -0.23231470    -0.00000000    -0.23231470
     0.22011847    -0.23378014    -0.00000000    -0.23378014
