#     time (fs)  |  E_x (eV/ang)  | E_y (eV/ang) | E_z (eV/ang)
     0.00000000     0.00000000     0.00000000     0.00000000
     0.00241888     0.00000000     0.10906994     0.00000000
     0.00483777     0.00000000     0.21790856     0.00000000
     0.00725665     0.00000000     0.32628506     0.00000000
     0.00967554     0.00000000     0.43396957     0.00000000
     0.01209442     0.00000000     0.54073374     0.00000000
     0.01451331     0.00000000     0.64635113     0.00000000
     0.01693219     0.00000000     0.75059776     0.00000000
     0.01935107     0.00000000     0.85325255     0.00000000
     0.02176996     0.00000000     0.95409778     0.00000000
     0.02418884     0.00000000     1.05291959     0.00000000
     0.02660773     0.00000000     1.14950840     0.00000000
     0.02902661     0.00000000     1.24365937     0.00000000
     0.03144550     0.00000000     1.33517282     0.00000000
     0.03386438     0.00000000     1.42385468     0.00000000
     0.03628326     0.00000000     1.50951687     0.00000000
     0.03870215     0.00000000     1.59197771     0.00000000
     0.04112103     0.00000000     1.67106234     0.00000000
     0.04353992     0.00000000     1.74660303     0.00000000
     0.04595880     0.00000000     1.81843958     0.00000000
     0.04837769     0.00000000     1.88641963     0.00000000
     0.05079657     0.00000000     1.95039902     0.00000000
     0.05321546     0.00000000     2.01024206     0.00000000
     0.05563434     0.00000000     2.06582184     0.00000000
     0.05805322     0.00000000     2.11702049     0.00000000
     0.06047211     0.00000000     2.16372942     0.00000000
     0.06289099     0.00000000     2.20584958     0.00000000
     0.06530988     0.00000000     2.24329164     0.00000000
     0.06772876     0.00000000     2.27597619     0.00000000
     0.07014765     0.00000000     2.30383391     0.00000000
     0.07256653     0.00000000     2.32680574     0.00000000
     0.07498541     0.00000000     2.34484294     0.00000000
     0.07740430     0.00000000     2.35790728     0.00000000
     0.07982318     0.00000000     2.36597103     0.00000000
     0.08224207     0.00000000     2.36901710     0.00000000
     0.08466095     0.00000000     2.36703902     0.00000000
     0.08707984     0.00000000     2.36004101     0.00000000
     0.08949872     0.00000000     2.34803788     0.00000000
     0.09191760     0.00000000     2.33105511     0.00000000
     0.09433649     0.00000000     2.30912871     0.00000000
     0.09675537     0.00000000     2.28230517     0.00000000
     0.09917426     0.00000000     2.25064139     0.00000000
     0.10159314     0.00000000     2.21420451     0.00000000
     0.10401203     0.00000000     2.17307182     0.00000000
     0.10643091     0.00000000     2.12733054     0.00000000
     0.10884979     0.00000000     2.07707767     0.00000000
     0.11126868     0.00000000     2.02241981     0.00000000
     0.11368756     0.00000000     1.96347285     0.00000000
     0.11610645     0.00000000     1.90036183     0.00000000
     0.11852533     0.00000000     1.83322057     0.00000000
     0.12094422     0.00000000     1.76219146     0.00000000
     0.12336310     0.00000000     1.68742516     0.00000000
     0.12578198     0.00000000     1.60908022     0.00000000
     0.12820087     0.00000000     1.52732278     0.00000000
     0.13061975     0.00000000     1.44232625     0.00000000
     0.13303864     0.00000000     1.35427087     0.00000000
     0.13545752     0.00000000     1.26334339     0.00000000
     0.13787641     0.00000000     1.16973665     0.00000000
     0.14029529     0.00000000     1.07364917     0.00000000
     0.14271418     0.00000000     0.97528473     0.00000000
     0.14513306     0.00000000     0.87485193     0.00000000
     0.14755194     0.00000000     0.77256377     0.00000000
     0.14997083     0.00000000     0.66863718     0.00000000
     0.15238971     0.00000000     0.56329257     0.00000000
     0.15480860     0.00000000     0.45675334     0.00000000
     0.15722748     0.00000000     0.34924544     0.00000000
     0.15964637     0.00000000     0.24099687     0.00000000
     0.16206525     0.00000000     0.13223721     0.00000000
     0.16448413     0.00000000     0.02319710     0.00000000
     0.16690302    -0.00000000    -0.08589221    -0.00000000
     0.16932190    -0.00000000    -0.19479936    -0.00000000
     0.17174079    -0.00000000    -0.30329338    -0.00000000
     0.17415967    -0.00000000    -0.41114419    -0.00000000
     0.17657856    -0.00000000    -0.51812306    -0.00000000
     0.17899744    -0.00000000    -0.62400311    -0.00000000
     0.18141632    -0.00000000    -0.72855979    -0.00000000
     0.18383521    -0.00000000    -0.83157136    -0.00000000
     0.18625409    -0.00000000    -0.93281936    -0.00000000
     0.18867298    -0.00000000    -1.03208906    -0.00000000
     0.19109186    -0.00000000    -1.12916994    -0.00000000
     0.19351075    -0.00000000    -1.22385611    -0.00000000
