#     time (fs)  |  E_x (eV/ang)  | E_y (eV/ang) | E_z (eV/ang)
     0.00000000     0.00000000     0.00000000     0.00000000
     0.00241888     0.06644836     0.00000000     0.00000000
     0.00483777     0.13273551     0.00000000     0.00000000
     0.00725665     0.19870066     0.00000000     0.00000000
     0.00967554     0.26418376     0.00000000     0.00000000
     0.01209442     0.32902596     0.00000000     0.00000000
     0.01451331     0.39306996     0.00000000     0.00000000
     0.01693219     0.45616037     0.00000000     0.00000000
     0.01935107     0.51814416     0.00000000     0.00000000
     0.02176996     0.57887095     0.00000000     0.00000000
     0.02418884     0.63819342     0.00000000     0.00000000
     0.02660773     0.69596765     0.00000000     0.00000000
     0.02902661     0.75205348     0.00000000     0.00000000
     0.03144550     0.80631486     0.00000000     0.00000000
     0.03386438     0.85862014     0.00000000     0.00000000
     0.03628326     0.90884244     0.00000000     0.00000000
     0.03870215     0.95685992     0.00000000     0.00000000
     0.04112103     1.00255608     0.00000000     0.00000000
     0.04353992     1.04582008     0.00000000     0.00000000
     0.04595880     1.08654695     0.00000000     0.00000000
     0.04837769     1.12463789     0.00000000     0.00000000
     0.05079657     1.16000050     0.00000000     0.00000000
     0.05321546     1.19254898     0.00000000     0.00000000
     0.05563434     1.22220438     0.00000000     0.00000000
     0.05805322     1.24889475     0.00000000     0.00000000
     0.06047211     1.27255534     0.00000000     0.00000000
     0.06289099     1.29312876     0.00000000     0.00000000
     0.06530988     1.31056508     0.00000000     0.00000000
     0.06772876     1.32482202     0.00000000     0.00000000
     0.07014765     1.33586498     0.00000000     0.00000000
     0.07256653     1.34366717     0.00000000     0.00000000
     0.07498541     1.34820967     0.00000000     0.00000000
     0.07740430     1.34948146     0.00000000     0.00000000
     0.07982318     1.34747945     0.00000000     0.00000000
     0.08224207     1.34220850     0.00000000     0.00000000
     0.08466095     1.33368140     0.00000000     0.00000000
     0.08707984     1.32191883     0.00000000     0.00000000
     0.08949872     1.30694932     0.00000000     0.00000000
     0.09191760     1.28880920     0.00000000     0.00000000
     0.09433649     1.26754246     0.00000000     0.00000000
     0.09675537     1.24320072     0.00000000     0.00000000
     0.09917426     1.21584300     0.00000000     0.00000000
     0.10159314     1.18553569     0.00000000     0.00000000
     0.10401203     1.15235231     0.00000000     0.00000000
     0.10643091     1.11637336     0.00000000     0.00000000
     0.10884979     1.07768612     0.00000000     0.00000000
     0.11126868     1.03638446     0.00000000     0.00000000
     0.11368756     0.99256855     0.00000000     0.00000000
     0.11610645     0.94634471     0.00000000     0.00000000
     0.11852533     0.89782507     0.00000000     0.00000000
     0.12094422     0.84712733     0.00000000     0.00000000
     0.12336310     0.79437448     0.00000000     0.00000000
     0.12578198     0.73969451     0.00000000     0.00000000
     0.12820087     0.68322007     0.00000000     0.00000000
     0.13061975     0.62508816     0.00000000     0.00000000
     0.13303864     0.56543980     0.00000000     0.00000000
     0.13545752     0.50441970     0.00000000     0.00000000
     0.13787641     0.44217590     0.00000000     0.00000000
     0.14029529     0.37885939     0.00000000     0.00000000
     0.14271418     0.31462378     0.00000000     0.00000000
     0.14513306     0.24962491     0.00000000     0.00000000
     0.14755194     0.18402045     0.00000000     0.00000000
     0.14997083     0.11796957     0.00000000     0.00000000
     0.15238971     0.05163249     0.00000000     0.00000000
     0.15480860    -0.01482984    -0.00000000    -0.00000000
     0.15722748    -0.08125620    -0.00000000    -0.00000000
     0.15964637    -0.14748543    -0.00000000    -0.00000000
     0.16206525    -0.21335686    -0.00000000    -0.00000000
     0.16448413    -0.27871070    -0.00000000    -0.00000000
     0.16690302    -0.34338840    -0.00000000    -0.00000000
     0.16932190    -0.40723305    -0.00000000    -0.00000000
     0.17174079    -0.47008976    -0.00000000    -0.00000000
     0.17415967    -0.53180605    -0.00000000    -0.00000000
     0.17657856    -0.59223220    -0.00000000    -0.00000000
     0.17899744    -0.65122161    -0.00000000    -0.00000000
     0.18141632    -0.70863118    -0.00000000    -0.00000000
     0.18383521    -0.76432163    -0.00000000    -0.00000000
     0.18625409    -0.81815786    -0.00000000    -0.00000000
     0.18867298    -0.87000927    -0.00000000    -0.00000000
     0.19109186    -0.91975006    -0.00000000    -0.00000000
     0.19351075    -0.96725957    -0.00000000    -0.00000000
     0.19592963    -1.01242254    -0.00000000    -0.00000000
     0.19834851    -1.05512940    -0.00000000    -0.00000000
     0.20076740    -1.09527656    -0.00000000    -0.00000000
     0.20318628    -1.13276661    -0.00000000    -0.00000000
     0.20560517    -1.16750860    -0.00000000    -0.00000000
     0.20802405    -1.19941826    -0.00000000    -0.00000000
     0.21044294    -1.22841816    -0.00000000    -0.00000000
     0.21286182    -1.25443796    -0.00000000    -0.00000000
     0.21528071    -1.27741454    -0.00000000    -0.00000000
     0.21769959    -1.29729215    -0.00000000    -0.00000000
     0.22011847    -1.31402257    -0.00000000    -0.00000000
     0.22253736    -1.32756522    -0.00000000    -0.00000000
     0.22495624    -1.33788723    -0.00000000    -0.00000000
     0.22737513    -1.34496357    -0.00000000    -0.00000000
     0.22979401    -1.34877708    -0.00000000    -0.00000000
     0.23221290    -1.34931849     0.00000000     0.00000000
     0.23463178    -1.34658651     0.00000000     0.00000000
     0.23705066    -1.34058774     0.00000000     0.00000000
     0.23946955    -1.33133676     0.00000000     0.00000000
     0.24188843    -1.31885599     0.00000000     0.00000000
     0.24430732    -1.30317573     0.00000000     0.00000000
     0.24672620    -1.28433400     0.00000000     0.00000000
     0.24914509    -1.26237651     0.00000000     0.00000000
     0.25156397    -1.23735655     0.00000000     0.00000000
     0.25398285    -1.20933479     0.00000000     0.00000000
     0.25640174    -1.17837923     0.00000000     0.00000000
     0.25882062    -1.14456496     0.00000000     0.00000000
     0.26123951    -1.10797401     0.00000000     0.00000000
     0.26365839    -1.06869515     0.00000000     0.00000000
     0.26607728    -1.02682367     0.00000000     0.00000000
     0.26849616    -0.98246115     0.00000000     0.00000000
     0.27091504    -0.93571522     0.00000000     0.00000000
     0.27333393    -0.88669926     0.00000000     0.00000000
     0.27575281    -0.83553221     0.00000000     0.00000000
     0.27817170    -0.78233818     0.00000000     0.00000000
     0.28059058    -0.72724622     0.00000000     0.00000000
     0.28300947    -0.67038998     0.00000000     0.00000000
     0.28542835    -0.61190740     0.00000000     0.00000000
     0.28784723    -0.55194036     0.00000000     0.00000000
     0.29026612    -0.49063432     0.00000000     0.00000000
     0.29268500    -0.42813802     0.00000000     0.00000000
     0.29510389    -0.36460308     0.00000000     0.00000000
     0.29752277    -0.30018361     0.00000000     0.00000000
     0.29994166    -0.23503592     0.00000000     0.00000000
     0.30236054    -0.16931803     0.00000000     0.00000000
     0.30477943    -0.10318938     0.00000000     0.00000000
     0.30719831    -0.03681040     0.00000000     0.00000000
     0.30961719     0.02965789     0.00000000     0.00000000
     0.31203608     0.09605422     0.00000000     0.00000000
     0.31445496     0.16221753     0.00000000     0.00000000
     0.31687385     0.22798731     0.00000000     0.00000000
     0.31929273     0.29320399     0.00000000     0.00000000
     0.32171162     0.35770937     0.00000000     0.00000000
     0.32413050     0.42134696     0.00000000     0.00000000
     0.32654938     0.48396238     0.00000000     0.00000000
     0.32896827     0.54540372     0.00000000     0.00000000
     0.33138715     0.60552193     0.00000000     0.00000000
     0.33380604     0.66417116     0.00000000     0.00000000
     0.33622492     0.72120913     0.00000000     0.00000000
     0.33864381     0.77649747     0.00000000     0.00000000
     0.34106269     0.82990206     0.00000000     0.00000000
     0.34348157     0.88129333     0.00000000     0.00000000
     0.34590046     0.93054661     0.00000000     0.00000000
     0.34831934     0.97754241     0.00000000     0.00000000
     0.35073823     1.02216673     0.00000000     0.00000000
     0.35315711     1.06431131     0.00000000     0.00000000
     0.35557600     1.10387390     0.00000000     0.00000000
     0.35799488     1.14075852     0.00000000     0.00000000
     0.36041376     1.17487571     0.00000000     0.00000000
     0.36283265     1.20614268     0.00000000     0.00000000
     0.36525153     1.23448359     0.00000000     0.00000000
     0.36767042     1.25982968     0.00000000     0.00000000
     0.37008930     1.28211947     0.00000000     0.00000000
     0.37250819     1.30129888     0.00000000     0.00000000
     0.37492707     1.31732137     0.00000000     0.00000000
     0.37734595     1.33014809     0.00000000     0.00000000
     0.37976484     1.33974792     0.00000000     0.00000000
     0.38218372     1.34609755     0.00000000     0.00000000
     0.38460261     1.34918160     0.00000000     0.00000000
     0.38702149     1.34899258     0.00000000     0.00000000
     0.38944038     1.34553094     0.00000000     0.00000000
     0.39185926     1.33880509     0.00000000     0.00000000
     0.39427815     1.32883134     0.00000000     0.00000000
     0.39669703     1.31563389     0.00000000     0.00000000
     0.39911591     1.29924475     0.00000000     0.00000000
     0.40153480     1.27970369     0.00000000     0.00000000
